Participant,Age,NineEnd,EndDigit,Happy,Married,Children,Gender,LiveParents,Employed,Meaning
95,26,0,6,1,6,0,2,2,2,4
96,29,9,9,2,6,1,1,2,1,3
97,27,0,7,1,1,3,2,2,5,3
98,63,0,3,2,3,0,1,2,3,4
99,29,9,9,2,2,0,1,2,3,3
101,40,0,0,2,1,2,2,2,2,4
107,62,0,2,1,3,1,1,2,4,4
108,42,0,2,2,1,1,1,2,3,3
109,25,0,5,2,6,0,2,2,1,3
111,27,0,7,1,6,0,1,2,1,2
112,28,0,8,2,6,0,1,2,1,4
113,42,0,2,1,1,2,1,2,1,2
114,44,0,4,1,1,3,2,2,5,3
115,46,0,6,1,1,2,1,2,1,3
116,51,0,1,1,1,2,1,2,1,3
117,29,9,9,1,2,0,2,2,1,4
118,35,0,5,1,1,2,2,2,5,1
119,43,0,3,3,1,1,1,2,1,4
120,56,0,6,2,1,2,1,1,1,3
122,56,0,6,1,1,2,2,2,5,2
123,54,0,4,2,1,1,1,2,4,3
124,35,0,5,1,1,3,2,2,5,2
125,56,0,6,3,6,1,1,2,7,2
126,30,0,0,1,1,3,2,2,5,3
127,63,0,3,2,1,2,2,2,5,3
132,46,0,6,2,1,2,1,2,1,2
133,36,0,6,2,1,3,2,2,3,2
137,58,0,8,2,1,1,1,2,4,3
140,40,0,0,1,1,2,2,2,2,3
141,54,0,4,2,1,0,2,2,1,3
142,41,0,1,2,1,2,2,2,3,4
144,51,0,1,3,1,1,2,2,7,2
145,63,0,3,2,1,2,1,2,4,1
148,34,0,4,2,1,1,2,2,1,2
149,46,0,6,2,1,3,1,2,1,2
150,57,0,7,2,1,3,2,2,5,3
151,60,0,0,2,1,3,1,2,4,4
152,39,9,9,2,1,2,2,2,2,4
153,38,0,8,1,1,3,2,2,5,4
154,54,0,4,2,1,3,2,2,5,4
155,60,0,0,2,1,2,1,2,3,3
156,31,0,1,1,1,1,2,2,5,3
157,47,0,7,1,3,2,1,2,3,4
158,47,0,7,1,1,1,2,1,2,3
162,47,0,7,2,1,2,2,1,1,4
163,37,0,7,3,1,2,2,1,2,4
165,45,0,5,2,1,2,1,1,1,3
166,41,0,1,3,1,3,2,2,2,3
168,44,0,4,2,1,3,2,2,2,4
169,62,0,2,2,1,1,1,2,4,2
170,42,0,2,1,3,2,2,2,2,2
171,26,0,6,1,6,0,1,1,1,1
172,62,0,2,2,1,1,1,2,4,3
173,38,0,8,1,1,2,1,2,1,2
174,52,0,2,2,2,1,1,2,1,3
175,25,0,5,2,6,1,2,1,5,1
176,35,0,5,1,1,1,2,2,2,3
177,44,0,4,1,3,0,2,2,1,1
178,37,0,7,2,1,2,2,2,2,3
179,35,0,5,2,1,2,2,2,5,2
182,58,0,8,2,1,5,2,2,2,4
183,63,0,3,2,1,1,1,2,4,4
184,36,0,6,2,1,2,2,1,2,3
185,38,0,8,2,1,2,2,2,2,3
191,37,0,7,2,1,1,1,2,1,3
192,44,0,4,2,3,1,2,2,1,4
194,40,0,0,1,6,1,1,2,1,4
196,49,9,9,1,1,2,1,1,1,4
197,54,0,4,3,1,3,2,2,8,4
198,45,0,5,2,1,2,1,2,4,4
199,53,0,3,1,1,2,2,2,5,3
200,54,0,4,1,1,0,2,2,1,4
203,46,0,6,1,1,2,2,2,5,3
204,58,0,8,1,1,2,2,2,5,3
206,26,0,6,1,6,0,1,2,6,3
207,28,0,8,1,6,0,2,2,6,3
208,29,9,9,2,6,0,1,2,7,3
210,58,0,8,3,1,4,1,2,7,4
211,54,0,4,2,3,0,2,2,7,2
212,40,0,0,3,3,0,2,2,7,4
215,44,0,4,1,5,0,2,2,1,3
216,56,0,6,2,3,1,2,2,2,3
219,32,0,2,2,1,0,2,2,1,3
220,41,0,1,1,1,0,1,2,1,3
221,36,0,6,1,1,2,2,2,1,3
223,45,0,5,3,6,0,1,2,7,4
226,64,0,4,3,5,0,2,2,4,4
228,46,0,6,2,1,0,2,2,1,1
229,40,0,0,2,1,2,2,2,2,2
230,40,0,0,2,3,1,1,2,1,3
231,37,0,7,2,4,1,2,2,1,3
233,47,0,7,2,3,1,1,2,1,3
234,38,0,8,3,3,0,1,2,1,4
235,52,0,2,1,1,2,2,2,5,1
236,46,0,6,2,1,2,1,2,7,1
238,63,0,3,2,1,2,2,2,4,1
239,36,0,6,2,6,1,2,2,2,4
240,26,0,6,1,3,2,1,2,1,4
241,48,0,8,3,5,1,2,2,8,4
243,48,0,8,2,1,3,1,2,1,4
245,50,0,0,2,1,2,1,2,3,3
248,41,0,1,2,4,3,2,2,1,4
249,36,0,6,2,1,1,1,2,3,3
250,41,0,1,3,6,0,1,2,4,4
252,45,0,5,2,1,1,2,2,2,2
253,41,0,1,3,1,1,1,2,7,4
254,61,0,1,4,3,1,1,2,4,4
255,41,0,1,1,1,2,2,2,2,2
256,37,0,7,2,1,4,2,2,5,3
257,37,0,7,2,1,2,2,2,5,3
259,47,0,7,2,1,2,1,2,1,2
264,52,0,2,2,1,8,1,2,1,1
266,56,0,6,2,1,1,2,2,5,1
268,49,9,9,2,1,0,1,2,1,1
269,48,0,8,2,1,0,1,2,1,2
270,50,0,0,2,1,2,1,2,1,1
271,64,0,4,3,1,5,2,2,5,1
273,56,0,6,2,3,3,2,2,7,4
274,63,0,3,1,5,4,1,2,4,2
275,34,0,4,2,6,0,2,2,1,4
276,37,0,7,1,6,0,1,2,1,4
277,48,0,8,3,1,2,2,2,5,4
278,57,0,7,1,1,3,1,2,1,3
279,32,0,2,1,2,0,2,2,1,4
281,48,0,8,1,1,4,1,2,1,3
282,43,0,3,2,1,2,1,2,1,3
283,38,0,8,1,1,0,2,2,1,3
285,36,0,6,1,1,0,1,2,1,3
287,38,0,8,4,4,3,2,2,2,3
288,46,0,6,2,1,2,2,2,2,3
289,37,0,7,2,1,2,2,2,2,4
290,46,0,6,2,1,2,1,2,1,3
291,44,0,4,2,1,0,1,2,1,3
294,28,0,8,2,1,1,2,2,1,3
295,42,0,2,2,1,1,2,2,3,3
296,45,0,5,3,4,1,2,1,1,3
297,58,0,8,2,1,2,2,2,7,4
299,44,0,4,2,1,1,2,2,3,3
300,46,0,6,1,1,2,1,2,1,3
302,48,0,8,2,1,2,1,2,1,3
303,27,0,7,2,2,0,1,2,1,3
304,52,0,2,2,1,1,2,2,3,4
305,49,9,9,3,1,2,1,2,1,3
307,36,0,6,2,1,0,1,2,1,3
308,52,0,2,2,1,2,1,2,1,3
309,56,0,6,1,1,3,2,2,3,4
310,45,0,5,1,1,3,2,2,2,3
314,46,0,6,1,3,2,2,2,2,4
315,41,0,1,2,2,2,2,2,2,3
317,44,0,4,2,3,3,2,2,8,3
318,34,0,4,1,1,1,2,2,3,4
319,39,9,9,2,1,0,1,1,3,3
320,30,0,0,2,6,1,2,2,1,3
322,47,0,7,1,1,0,1,2,1,4
324,43,0,3,2,1,2,2,2,2,2
325,41,0,1,2,4,1,1,2,1,1
328,35,0,5,3,1,2,2,2,4,2
335,43,0,3,2,2,0,1,2,1,3
336,60,0,0,2,1,1,2,2,4,2
337,36,0,6,3,6,0,2,2,1,4
339,52,0,2,2,1,1,1,2,1,3
340,35,0,5,1,1,1,2,2,5,2
342,56,0,6,1,1,3,2,2,5,4
343,41,0,1,2,1,0,1,2,1,1
346,58,0,8,1,1,2,2,2,2,3
347,46,0,6,2,1,2,1,2,1,3
349,25,0,5,2,6,0,1,1,7,1
350,48,0,8,2,1,2,2,2,2,1
352,50,0,0,2,1,1,1,2,1,3
353,28,0,8,2,2,0,1,2,1,2
354,51,0,1,2,5,3,2,2,2,4
355,62,0,2,2,2,2,1,2,4,4
356,47,0,7,2,1,2,1,2,1,3
357,35,0,5,2,1,2,2,2,3,3
358,43,0,3,2,1,2,2,2,2,3
359,40,0,0,2,1,2,2,2,2,3
360,39,9,9,2,1,1,2,2,2,4
362,25,0,5,4,4,2,2,2,5,4
365,25,0,5,2,1,1,1,2,1,4
366,41,0,1,1,1,2,2,2,2,4
367,40,0,0,1,1,3,2,2,2,3
368,43,0,3,2,1,2,1,2,1,3
369,37,0,7,1,2,2,2,2,2,2
370,36,0,6,2,1,2,2,2,5,2
371,29,9,9,1,2,0,1,2,1,3
372,50,0,0,2,1,2,2,2,2,3
373,48,0,8,2,3,4,2,2,2,2
377,40,0,0,3,1,4,1,2,1,1
379,59,9,9,1,1,2,2,2,5,2
380,47,0,7,2,1,2,2,2,5,3
381,26,0,6,2,2,0,2,2,1,4
383,50,0,0,2,1,1,2,2,2,2
386,47,0,7,1,1,2,2,2,2,3
389,50,0,0,2,6,0,2,2,1,3
390,47,0,7,2,2,1,2,1,2,4
391,41,0,1,1,1,2,2,2,3,4
392,29,9,9,2,6,0,2,2,1,4
394,53,0,3,2,1,2,2,2,3,2
396,64,0,4,1,1,2,1,2,4,3
397,35,0,5,2,1,2,2,2,5,2
398,47,0,7,2,1,2,2,2,5,4
399,59,9,9,1,5,2,2,2,4,4
400,41,0,1,2,1,1,1,2,5,2
405,64,0,4,3,5,2,2,2,2,3
406,31,0,1,1,6,0,1,2,2,3
407,31,0,1,1,1,1,2,2,2,4
409,26,0,6,2,6,0,2,2,1,3
410,27,0,7,2,6,0,2,2,7,3
411,27,0,7,2,6,0,1,2,6,3
412,56,0,6,3,6,0,2,2,4,2
413,43,0,3,2,1,2,2,2,2,3
415,64,0,4,2,1,2,1,2,4,3
417,37,0,7,2,1,2,2,2,2,2
419,47,0,7,2,1,3,1,2,1,2
421,58,0,8,3,3,0,2,2,7,4
422,55,0,5,1,1,2,2,2,5,3
424,49,9,9,2,3,1,2,2,1,3
426,32,0,2,2,1,1,1,2,1,2
427,59,9,9,1,1,2,2,2,5,2
428,46,0,6,2,1,3,1,2,1,2
431,42,0,2,2,1,0,2,2,2,1
433,25,0,5,3,6,0,2,1,6,3
436,59,9,9,1,1,2,2,2,5,3
439,25,0,5,3,6,0,1,2,1,2
440,62,0,2,1,1,0,1,2,4,4
441,37,0,7,1,1,3,2,2,5,4
442,40,0,0,2,1,3,2,2,2,3
443,44,0,4,3,3,2,1,1,1,2
444,62,0,2,2,1,2,2,2,5,4
449,29,9,9,3,3,1,2,2,2,4
450,55,0,5,2,1,2,2,2,2,4
451,34,0,4,3,2,0,2,2,1,4
452,35,0,5,1,1,2,2,1,2,2
454,58,0,8,2,1,2,1,2,4,3
455,34,0,4,2,1,2,2,2,2,3
456,42,0,2,2,1,3,2,2,5,4
457,31,0,1,2,1,2,2,2,2,3
458,40,0,0,2,4,0,2,2,2,4
460,30,0,0,2,1,2,1,2,1,2
461,31,0,1,2,1,1,2,2,3,4
462,25,0,5,1,6,1,1,2,1,3
464,56,0,6,2,1,3,1,2,7,4
465,48,0,8,2,3,4,2,2,2,4
466,61,0,1,1,3,2,2,2,4,3
469,54,0,4,2,1,2,2,2,2,4
471,29,9,9,1,1,1,2,2,5,1
474,41,0,1,2,1,2,1,2,1,1
475,38,0,8,2,1,2,1,2,1,1
476,44,0,4,1,1,3,2,2,3,2
477,32,0,2,1,3,2,2,2,3,1
478,30,0,0,3,6,0,2,2,1,1
479,64,0,4,2,3,2,2,2,4,3
480,32,0,2,2,1,3,1,2,7,2
484,62,0,2,2,1,4,2,2,5,3
485,58,0,8,3,1,2,2,2,5,3
486,64,0,4,2,1,2,1,2,4,3
487,46,0,6,3,1,1,1,2,7,3
489,56,0,6,3,3,1,2,2,2,3
490,34,0,4,2,1,2,2,2,2,4
491,27,0,7,2,1,1,2,2,2,3
493,48,0,8,2,1,2,2,2,2,2
494,46,0,6,2,1,3,2,2,2,2
495,57,0,7,2,1,1,2,2,1,2
496,62,0,2,2,1,2,1,2,4,2
497,54,0,4,2,1,2,1,2,1,2
498,62,0,2,2,1,2,1,2,4,3
499,48,0,8,2,1,3,2,2,5,3
500,63,0,3,2,1,1,1,2,4,2
504,36,0,6,2,1,1,2,2,1,2
513,27,0,7,3,6,0,2,2,7,2
514,39,9,9,2,1,2,1,2,1,2
516,64,0,4,1,1,0,1,2,4,4
517,39,9,9,2,1,1,2,2,3,4
518,56,0,6,2,1,3,2,2,2,4
519,43,0,3,2,1,3,1,2,1,3
521,54,0,4,2,1,3,2,2,2,4
525,38,0,8,3,6,0,2,2,1,2
526,57,0,7,1,1,1,1,2,1,3
527,48,0,8,1,1,1,2,2,5,3
528,30,0,0,2,1,1,1,2,1,3
529,36,0,6,2,3,2,2,2,2,4
530,35,0,5,2,1,0,1,2,1,3
531,43,0,3,2,2,0,1,2,3,1
532,35,0,5,2,2,0,1,2,1,2
533,47,0,7,2,3,1,2,2,1,3
534,44,0,4,2,3,0,2,1,1,3
535,26,0,6,2,6,0,1,1,6,2
538,47,0,7,2,1,3,2,2,5,2
541,55,0,5,2,1,2,1,2,1,3
542,50,0,0,2,3,1,2,1,1,3
543,40,0,0,2,4,3,1,2,1,3
545,45,0,5,2,1,2,2,2,5,4
546,27,0,7,1,2,0,1,2,1,3
547,40,0,0,1,1,3,1,2,1,4
549,46,0,6,2,1,2,2,2,2,3
551,61,0,1,2,1,1,2,2,5,3
552,52,0,2,2,1,3,2,2,1,3
553,58,0,8,3,1,2,1,2,4,2
554,49,9,9,2,1,2,2,2,2,2
555,43,0,3,2,1,2,1,2,1,2
558,32,0,2,2,1,0,2,2,8,4
559,27,0,7,2,1,1,1,2,1,2
560,55,0,5,3,1,1,1,2,7,2
566,37,0,7,2,1,1,2,2,2,3
568,33,0,3,2,1,2,2,2,7,2
569,51,0,1,2,1,1,1,2,1,1
572,34,0,4,2,1,1,2,2,2,2
573,43,0,3,2,1,2,2,2,1,2
574,35,0,5,2,1,2,1,2,1,2
575,46,0,6,2,1,2,2,2,7,3
577,50,0,0,2,1,2,1,2,1,4
578,42,0,2,1,1,2,2,2,2,3
580,51,0,1,2,1,2,2,2,1,3
581,58,0,8,2,1,1,1,2,1,4
582,41,0,1,1,1,1,2,2,2,3
583,39,9,9,2,1,2,2,2,5,1
584,50,0,0,2,1,1,2,1,1,3
585,51,0,1,2,1,2,2,2,5,3
587,56,0,6,2,1,2,1,2,1,1
588,43,0,3,2,1,1,2,2,2,2
589,39,9,9,1,1,1,1,2,1,2
590,46,0,6,2,1,2,2,2,3,3
591,46,0,6,2,1,4,1,2,1,3
592,46,0,6,2,1,2,2,2,1,3
593,52,0,2,2,1,2,1,2,1,3
596,43,0,3,2,1,3,1,2,1,3
597,42,0,2,2,1,1,1,1,1,3
598,38,0,8,2,1,3,1,2,1,4
599,26,0,6,1,6,0,1,2,2,4
600,37,0,7,2,1,0,2,2,1,3
601,62,0,2,2,6,0,1,2,4,2
603,36,0,6,1,1,2,2,2,2,3
604,48,0,8,2,1,2,2,2,2,3
607,63,0,3,2,5,2,2,2,1,3
608,53,0,3,3,4,2,2,2,2,2
609,58,0,8,1,1,1,2,2,1,3
610,56,0,6,2,1,2,2,2,4,4
611,33,0,3,1,6,0,1,2,1,4
612,39,9,9,2,1,2,1,2,1,3
614,61,0,1,4,3,2,2,2,7,4
615,37,0,7,2,1,3,2,2,5,4
618,56,0,6,2,1,2,2,2,5,2
621,46,0,6,2,1,2,1,2,1,3
622,40,0,0,2,2,0,2,2,1,2
623,43,0,3,3,6,0,1,2,1,1
624,38,0,8,2,4,2,2,2,2,3
625,38,0,8,3,3,0,2,2,1,4
626,56,0,6,3,1,5,1,2,5,3
627,57,0,7,2,1,5,1,2,1,3
633,52,0,2,2,1,2,2,2,2,3
634,39,9,9,2,1,2,2,2,5,2
636,43,0,3,3,6,0,2,2,1,3
637,40,0,0,2,6,0,2,2,1,3
638,57,0,7,3,1,1,2,2,5,2
639,51,0,1,2,1,0,1,2,3,3
640,41,0,1,2,1,4,2,2,2,3
642,60,0,0,1,1,2,1,2,4,3
644,63,0,3,1,1,3,2,2,2,4
646,36,0,6,2,1,1,1,2,7,1
647,39,9,9,2,2,0,2,2,1,4
648,60,0,0,3,1,3,2,2,2,4
649,63,0,3,2,5,2,2,2,1,3
650,36,0,6,2,2,0,1,2,1,4
652,37,0,7,1,1,1,2,2,5,4
653,62,0,2,2,5,2,2,2,4,1
655,25,0,5,2,2,0,2,2,1,3
656,57,0,7,2,1,2,1,2,1,2
658,64,0,4,2,1,3,2,2,4,1
659,59,9,9,1,1,2,1,2,2,3
660,55,0,5,1,1,0,1,2,1,4
661,63,0,3,2,1,3,2,2,5,4
662,59,9,9,2,1,2,1,2,4,2
668,40,0,0,1,1,2,2,2,3,3
669,49,9,9,1,1,2,1,2,1,3
670,62,0,2,2,1,1,2,2,4,3
672,28,0,8,2,1,1,1,2,1,3
673,51,0,1,2,1,0,2,2,2,4
674,60,0,0,3,1,0,1,2,4,3
675,43,0,3,2,1,2,2,2,3,4
676,64,0,4,2,6,0,1,2,4,4
677,37,0,7,2,6,0,2,2,1,3
681,31,0,1,2,1,1,2,2,5,3
682,50,0,0,2,1,0,2,2,1,2
683,59,9,9,2,1,0,2,2,4,3
684,49,9,9,2,1,1,2,2,1,3
686,62,0,2,3,1,2,2,2,4,3
687,58,0,8,1,6,0,1,2,1,4
689,41,0,1,2,1,3,1,2,1,4
690,42,0,2,4,4,1,1,2,1,4
691,31,0,1,2,6,0,2,2,2,4
692,57,0,7,3,2,1,1,2,3,4
693,41,0,1,2,3,0,1,2,1,3
694,52,0,2,1,4,1,2,2,1,4
696,27,0,7,2,6,0,2,1,1,4
697,37,0,7,2,1,2,2,2,2,3
704,30,0,0,1,2,0,1,2,1,1
708,40,0,0,2,1,4,2,2,2,3
710,51,0,1,2,1,3,2,2,2,3
714,28,0,8,2,6,0,2,2,1,1
718,32,0,2,1,1,0,1,2,1,3
720,30,0,0,2,1,1,1,2,1,3
722,53,0,3,3,1,3,1,2,4,4
723,38,0,8,2,1,2,2,2,2,3
724,51,0,1,3,3,3,1,2,1,3
725,34,0,4,1,2,1,1,2,7,3
726,46,0,6,2,1,1,1,2,1,4
727,53,0,3,2,1,3,2,2,5,3
728,54,0,4,3,1,2,1,2,1,2
729,62,0,2,1,1,3,1,2,4,3
730,35,0,5,1,1,3,2,2,2,3
733,58,0,8,2,1,0,1,2,4,1
735,41,0,1,2,1,0,1,2,1,3
736,39,9,9,1,1,2,2,2,3,4
737,41,0,1,2,6,0,2,1,1,3
738,43,0,3,2,6,1,1,2,1,3
739,34,0,4,3,1,1,2,2,5,3
740,59,9,9,2,1,3,2,2,5,4
745,51,0,1,2,1,4,2,2,2,2
747,57,0,7,2,1,2,2,2,2,3
748,34,0,4,2,1,0,1,2,1,3
750,45,0,5,2,1,1,2,2,2,3
757,38,0,8,2,6,4,2,1,2,3
758,42,0,2,2,1,2,2,2,2,3
763,46,0,6,2,1,2,2,2,5,3
764,36,0,6,2,6,0,2,2,1,2
771,25,0,5,2,6,0,2,1,1,1
773,25,0,5,1,6,0,1,2,1,2
775,47,0,7,2,2,2,1,2,1,3
776,43,0,3,1,1,2,2,2,2,1
777,51,0,1,3,1,1,2,2,2,2
778,41,0,1,1,1,2,2,2,1,3
779,26,0,6,2,1,0,2,2,1,3
781,62,0,2,2,6,0,2,2,5,2
782,59,9,9,2,1,1,2,2,4,2
783,49,9,9,2,1,2,2,2,2,3
784,57,0,7,2,1,0,2,2,4,4
785,60,0,0,3,5,2,1,2,4,1
786,26,0,6,2,6,0,2,2,2,4
787,40,0,0,3,6,0,1,2,8,3
789,42,0,2,2,1,0,1,2,1,3
790,56,0,6,2,1,0,1,2,5,3
791,38,0,8,1,1,2,2,2,1,3
794,64,0,4,2,1,2,1,2,4,3
795,29,9,9,2,1,0,2,2,1,4
796,52,0,2,2,2,0,1,2,2,4
797,36,0,6,3,1,1,1,2,1,3
800,45,0,5,2,1,3,1,2,1,4
801,40,0,0,1,1,3,1,2,1,2
803,40,0,0,1,1,2,1,2,1,3
804,55,0,5,1,1,2,1,2,3,4
805,49,9,9,2,1,2,2,2,2,3
807,62,0,2,2,1,4,1,2,4,2
808,43,0,3,2,1,2,1,2,1,2
810,41,0,1,2,1,0,1,2,7,2
812,33,0,3,2,6,0,1,2,1,3
813,25,0,5,2,6,0,2,1,6,2
814,39,9,9,2,1,3,1,2,7,4
815,43,0,3,2,1,2,2,2,2,3
816,38,0,8,2,1,2,1,2,1,1
818,30,0,0,1,1,2,2,2,5,4
820,50,0,0,3,1,3,1,2,7,3
821,36,0,6,2,1,2,2,2,5,3
826,45,0,5,2,1,2,1,2,5,2
827,35,0,5,2,1,1,2,2,2,4
829,45,0,5,2,1,2,2,2,2,2
830,60,0,0,2,1,1,1,2,1,3
832,36,0,6,1,1,2,1,2,1,3
833,47,0,7,3,1,3,2,2,5,4
834,42,0,2,2,1,1,1,2,1,3
835,46,0,6,2,1,1,2,2,2,3
838,45,0,5,2,1,1,2,2,1,3
843,50,0,0,2,1,1,1,2,1,2
844,38,0,8,1,1,2,2,2,3,2
845,45,0,5,2,1,2,2,2,2,2
846,43,0,3,2,1,0,1,2,1,3
847,49,9,9,2,1,2,2,2,2,3
848,49,9,9,3,1,2,2,2,2,3
849,34,0,4,2,2,0,2,2,3,4
850,40,0,0,2,1,0,2,2,2,3
851,33,0,3,1,1,2,2,2,5,3
853,32,0,2,1,1,2,1,2,1,3
854,39,9,9,1,1,0,2,2,3,3
855,50,0,0,2,1,0,1,2,1,2
856,55,0,5,1,6,0,2,2,1,3
861,53,0,3,3,3,1,2,2,1,3
863,52,0,2,2,1,1,1,2,1,2
866,28,0,8,3,6,0,1,2,6,3
870,59,9,9,2,6,0,2,2,7,3
872,54,0,4,3,1,2,2,2,2,4
876,50,0,0,2,1,2,2,2,5,3
877,44,0,4,2,1,2,2,2,2,3
881,36,0,6,2,1,1,2,2,2,2
884,63,0,3,2,1,0,1,2,4,4
885,59,9,9,2,1,3,1,2,4,2
886,44,0,4,2,1,1,2,2,2,3
889,55,0,5,1,1,4,1,2,1,3
890,33,0,3,2,1,3,2,2,5,3
892,38,0,8,2,1,3,1,2,7,3
894,27,0,7,2,1,1,2,2,5,2
895,41,0,1,2,1,3,2,2,5,3
899,59,9,9,3,3,2,2,2,2,2
900,60,0,0,2,1,2,1,2,4,2
901,42,0,2,1,1,4,2,2,2,1
908,29,9,9,2,1,1,2,2,5,3
910,41,0,1,2,6,0,2,2,1,3
911,46,0,6,2,1,3,2,2,1,3
912,40,0,0,2,1,2,2,2,5,3
914,50,0,0,2,1,2,2,2,5,3
916,25,0,5,2,6,0,2,1,6,3
917,41,0,1,2,1,2,2,2,2,3
919,59,9,9,2,1,3,2,2,5,3
921,56,0,6,2,1,2,1,1,1,3
922,30,0,0,1,1,1,2,2,5,2
923,30,0,0,2,1,2,1,2,1,3
924,58,0,8,2,1,2,1,2,1,1
925,43,0,3,2,1,2,1,2,1,3
926,64,0,4,3,6,0,1,2,4,3
929,30,0,0,2,1,1,2,2,5,2
932,52,0,2,1,1,1,1,2,4,1
934,47,0,7,2,1,1,2,2,2,4
935,45,0,5,2,6,0,1,2,1,2
936,49,9,9,1,1,6,1,2,1,4
939,36,0,6,2,1,1,1,2,1,4
940,30,0,0,2,2,0,1,2,1,1
942,40,0,0,1,1,2,1,2,1,2
943,58,0,8,2,1,2,2,2,2,4
944,56,0,6,3,5,2,1,2,1,3
946,28,0,8,2,1,1,2,2,5,3
947,26,0,6,1,6,0,2,1,6,3
948,52,0,2,3,3,1,1,2,1,2
949,36,0,6,3,2,0,1,2,1,3
950,27,0,7,3,1,0,1,2,2,1
952,46,0,6,3,3,1,1,2,1,3
953,25,0,5,3,6,0,1,1,1,3
954,26,0,6,2,6,0,1,1,1,2
955,51,0,1,2,2,0,1,2,4,2
958,39,9,9,2,6,4,2,2,1,2
959,46,0,6,2,1,2,2,2,2,3
961,28,0,8,2,6,0,2,2,1,3
962,30,0,0,1,6,0,1,2,6,4
963,47,0,7,1,1,2,1,2,7,3
964,42,0,2,1,1,2,2,2,1,4
969,48,0,8,2,1,2,2,2,1,4
971,42,0,2,2,1,1,1,2,1,2
972,54,0,4,2,1,1,2,2,1,3
973,60,0,0,3,1,3,2,2,1,4
977,31,0,1,3,1,0,2,2,2,2
978,36,0,6,2,1,1,1,2,1,4
979,35,0,5,2,2,0,1,2,3,4
981,51,0,1,1,1,2,1,2,1,1
982,31,0,1,2,1,0,1,2,1,3
983,53,0,3,1,1,2,1,2,1,4
984,47,0,7,2,1,2,1,2,1,3
986,38,0,8,3,1,1,1,2,1,4
987,54,0,4,3,6,0,1,2,8,4
988,26,0,6,2,6,0,1,2,1,4
1,36,0,6,2,1,2,2,2,3,4
2,46,0,6,1,1,2,1,2,3,3
3,41,0,1,1,1,1,2,2,3,3
4,25,0,5,2,6,0,1,1,7,4
6,44,0,4,2,1,3,2,2,1,2
7,53,0,3,3,1,2,2,2,3,4
8,60,0,0,2,1,1,1,2,4,3
9,49,9,9,2,1,2,2,2,1,3
10,64,0,4,1,1,2,1,2,4,3
11,37,0,7,2,1,1,2,2,1,3
12,29,9,9,2,1,1,2,2,1,3
13,48,0,8,2,1,1,2,2,1,4
15,29,9,9,1,1,1,2,2,1,3
16,56,0,6,2,1,2,2,2,1,3
17,40,0,0,2,1,2,2,2,3,3
18,29,9,9,2,1,1,2,2,1,4
20,46,0,6,1,3,0,1,2,3,1
21,30,0,0,1,1,1,1,2,3,3
22,55,0,5,1,5,2,1,2,1,4
25,34,0,4,1,1,1,2,2,2,3
27,33,0,3,2,1,2,2,2,1,3
29,60,0,0,1,1,1,2,2,4,4
31,46,0,6,2,2,2,2,2,3,4
